"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,26.013198526464,784.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,27.0205374847683,2252
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,28.0157759298348,808
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,28.9999128390581,5886.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,29.0111980510903,5913.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,30.0314233604918,2918
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,31.9868164757146,1096.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,37.9997785667236,760
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,42.0311924824476,31673
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,43.015378845342,19426
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,44.0472559566264,413685
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,44.347625984402,244
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,44.3658660927674,285
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.0314265302251,337793.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.3330459037253,566.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.3367740510103,571
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.3515588628699,437
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.3807705272696,443
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.3855037669524,370
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.4171857732788,257
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,45.4880527713759,232
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,46.0337874817101,7623
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,46.0575482106727,3423
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,47.0347875205052,1071.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,53.0099272654682,378
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,56.0457858086001,4547
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,57.0540000761164,412
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,58.0619722439915,805443
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,58.3863007278297,303
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,58.4065421098444,447
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,58.4298301550196,335.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,60.0780859535822,1136702
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,60.4071012092511,717
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,60.4303486782954,1460
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,60.4494158345853,623.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,61.0804690459065,22453.5
