"ft.idx","mz.precursor","mz.product","rt(min)","rt(s)","Q1","Q3"
176,162.074571278968,56.0465887930477,12.36,741.6,162.1,56
177,162.111559782125,60.0781203286528,10.34,620.2,162.1,60.1
178,163.131429155767,45.0312887785645,0.97,58.3,163.1,45
179,163.966826563781,44.0464849857161,8.47,508,164,44
181,165.053012368831,95.0439977291044,8.64,518.3,165.1,95
182,166.051431430237,56.0466306312982,10.83,649.8,166.1,56
183,166.059390155869,61.02558667017,9.3,558,166.1,61
185,166.070964870336,149.041262872781,5.42,325.5,166.1,149
186,166.08535208292,120.077364558154,7.24,434.6,166.1,120.1
189,168.943995386938,62.9784655863407,9.95,596.8,168.9,63
190,169.024042539034,105.040489261755,1.19,71.5,169,105
192,169.074404662428,107.06871638896,1.16,69.5,169.1,107.1
193,170.090819148482,96.0640124310165,11.22,673.3,170.1,96.1
194,171.041171281332,44.0464691242216,4.86,291.8,171,44
196,172.070911206903,82.0488015585628,1.09,65.4,172.1,82
199,173.0358839667,83.0569485858499,6.34,380.6,173,83.1
204,173.126644105581,69.0297792590847,6.9,414.2,173.1,69
205,174.009273784895,45.0304075092784,10.07,603.9,174,45
206,174.020328434794,86.001401118863,3.72,223.5,174,86
207,174.036319612555,135.025569245417,7.43,445.8,174,135
208,174.037022057175,135.025556558852,6.34,380.6,174,135
210,174.053641329778,68.0460683952177,1.23,73.6,174.1,68
211,174.079167750882,72.0770567480513,6.16,369.3,174.1,72.1
212,174.084950480338,117.053229872361,7.29,437.7,174.1,117.1
213,175.051926545409,88.0176262507861,7.29,437.7,175.1,88
214,175.051696630081,91.0506937104542,8.64,518.2,175.1,91.1
215,175.069518118758,85.0245583342615,5.93,356.1,175.1,85
216,175.069270226239,110.066814130181,9.28,557,175.1,110.1
217,175.069423016402,84.0405085664727,12.05,723.3,175.1,84
218,175.080714654602,60.0520062435147,11.17,670.2,175.1,60.1
219,175.105871598086,84.0766273851786,10.44,626.4,175.1,84.1
220,175.1064895076,84.0777108285504,11.6,695.7,175.1,84.1
221,175.117637335519,70.0615658166148,15.4,924.2,175.1,70.1
223,175.146195550028,45.0306386531155,0.95,57.2,175.1,45
224,175.14190163522,84.0770100129157,16.59,995.6,175.1,84.1
225,175.996824612881,81.0406346980956,4.86,291.8,176,81
226,176.006355247703,84.0410805907526,8.96,537.6,176,84
227,176.065250946727,74.0200626810454,12.17,730.4,176.1,74
228,176.089765352449,82.0614008904076,9.76,585.6,176.1,82.1
229,176.102047642086,84.0777426217875,11.58,694.7,176.1,84.1
230,176.874354635439,38.9607634569567,8.81,528.4,176.9,39
231,177.876157158492,38.9607631610745,8.81,528.4,177.9,39
232,178.131674132773,59.0571174235338,5.19,311.2,178.1,59.1
233,178.872176730333,38.9607634569567,8.81,528.4,178.9,39
235,179.046689092201,76.017635004262,8.67,520.3,179,76
236,180.085964434753,77.0349456899274,5.29,317.3,180.1,77
237,181.056262375902,84.077723941618,11.61,696.7,181.1,84.1
238,182.079814794766,91.0507041004646,8.64,518.3,182.1,91.1
239,183.003131041105,38.96076416624,8.82,529,183,39
240,183.060575493943,43.0259311409689,6.12,367.3,183.1,43
241,183.099628087136,164.034568217114,0.98,58.8,183.1,164
242,183.15863370949,110.067928754463,4.93,295.9,183.2,110.1
243,184.025622450031,124.001169111703,3.84,230.6,184,124
244,184.051917195495,113.011947902253,2.91,174.5,184.1,113
245,184.070505597606,110.067003453796,9.3,558,184.1,110.1
246,184.072779257839,86.0934908760212,14.76,885.4,184.1,86.1
247,184.071602214436,124.995077591044,11.48,688.6,184.1,125
248,185.090148575679,84.0764570141336,7.11,426.5,185.1,84.1
249,185.096503097516,110.066762620618,13.02,781.4,185.1,110.1
251,185.162997849225,81.06631911126,6.38,382.6,185.2,81.1
252,186.074261388798,118.061335887036,7.28,436.7,186.1,118.1
254,186.110934309777,100.071548878671,1.16,69.5,186.1,100.1
255,186.122378199587,84.0765550997316,10.27,616.2,186.1,84.1
256,186.158120368022,84.0765713811286,10.47,628.4,186.2,84.1
257,186.21994843919,57.0668201117041,4.22,253.1,186.2,57.1
258,186.994324215326,104.987484624399,9.93,595.8,187,105
260,187.069422365691,84.0766217571835,11.3,677.9,187.1,84.1
262,187.069785649676,110.019608271241,12.56,753.9,187.1,110
263,187.106262475075,70.0615834944803,9.83,589.6,187.1,70.1
265,187.178531611661,86.0917765540737,6.46,387.7,187.2,86.1
266,188.003451928277,74.0030434276718,8.08,484.6,188,74
267,188.033421591336,44.0464759250126,10.83,649.8,188,44
268,188.068681250751,118.061278385438,5.46,327.5,188.1,118.1
269,188.068831509768,118.060064064901,7.28,436.7,188.1,118.1
270,188.114347794303,84.0403171340821,15.57,934.4,188.1,84
271,188.125893364343,114.086753319092,9.08,544.8,188.1,114.1
272,189.01584503996,95.0561605043208,8.47,508,189,95.1
273,189.121224064862,98.091575832407,11.42,685,189.1,98.1
274,189.121371195525,84.0765391748525,10.26,615.7,189.1,84.1
275,189.158326186388,84.0775161450353,15.9,954.3,189.2,84.1
276,190.010516621146,38.9601341379433,6.34,380.6,190,39
277,190.062378901491,100.017525114944,9.39,563.1,190.1,100
279,190.116545100195,84.0766151305637,12.53,751.8,190.1,84.1
280,191.037997882468,84.040475933599,11,660,191,84
281,191.080169839183,72.0767057161156,1.19,71.5,191.1,72.1
282,191.177741675216,119.045096302141,0.89,53.2,191.2,119
283,191.980354992288,84.0764613798321,8.94,536.6,192,84.1
284,192.022381359607,74.0201581858955,11.98,718.7,192,74
285,192.066814159451,56.0466450771261,5.55,333.1,192.1,56
286,192.136635209031,119.045088893404,0.89,53.2,192.1,119
287,192.904359318548,38.9607628007948,8.81,528.4,192.9,39
289,193.156844895252,45.0306304609594,0.95,57.2,193.2,45
290,193.978366534131,98.0923167115854,8.94,536.6,194,98.1
291,193.996402023694,38.9607676919768,8.77,526.4,194,39
292,194.020017049371,44.0465687636896,8.08,484.6,194,44
294,195.074416541529,131.056365649083,7.16,429.5,195.1,131.1
296,195.120774183162,45.0312735293673,1.56,93.4,195.1,45
297,195.994171045898,38.9607742006021,8.77,526.4,196,39
298,196.124282418146,45.0312732786674,1.41,84.8,196.1,45
299,197.050942884235,110.066814130181,9.28,557,197.1,110.1
300,197.057141336908,119.045155478988,8.62,517.2,197.1,119
301,197.087716322096,84.0766269649067,10.44,626.4,197.1,84.1
302,197.174407976288,84.0764741240728,7.12,427.5,197.2,84.1
304,198.083783343536,84.077747297927,11.61,696.7,198.1,84.1
306,200.046705460373,86.0013254995889,8.56,513.7,200,86
307,200.090030930932,70.061536771432,8.48,509.1,200.1,70.1
308,200.174216839325,84.0771226662977,7.16,429.5,200.2,84.1
310,201.084752822789,84.0404881582987,12.22,733.5,201.1,84
311,201.084808871076,111.049257454301,5.71,342.8,201.1,111
312,201.096116855731,115.082300507216,10.97,658,201.1,115.1
313,202.062471900103,113.012002402585,2.91,174.5,202.1,113
314,202.116498486476,71.0567121659369,7.89,473.4,202.1,71.1
315,202.141345302709,128.10373744628,10.71,642.7,202.1,128.1
316,202.178324555155,102.087006111257,2.5,150.1,202.2,102.1
317,203.050777282322,98.0569224129439,11.65,698.8,203.1,98.1
318,203.064735470508,183.058381794693,0.85,51.1,203.1,183.1
319,203.082804965953,157.075600754655,6.92,415.2,203.1,157.1
320,203.100993933277,100.071606202,10.49,629.4,203.1,100.1
321,203.112616801793,70.0616168993668,10.98,659,203.1,70.1
322,203.136869539604,100.07162492841,10.47,628.4,203.1,100.1
323,203.136950135656,84.0771070129027,11.6,695.7,203.1,84.1
324,203.148778082439,70.0615483358014,14.49,869.1,203.1,70.1
325,204.030972936003,83.0686947312394,11.24,674.3,204,83.1
326,204.031110279597,120.077171380958,7.24,434.6,204,120.1
327,204.041425205113,101.011998368112,8.18,490.7,204,101
329,204.084653228387,118.061249751998,7.28,436.7,204.1,118.1
330,204.121426376973,85.0245723057691,8.82,529.5,204.1,85
332,205.05097923312,85.0245763603914,12.36,741.6,205.1,85
333,205.094652108595,118.061320750308,7.28,436.7,205.1,118.1
336,206.045878451198,84.0404815525158,11.14,668.2,206,84
337,206.053214533835,86.0924399377434,14.75,884.9,206.1,86.1
338,207.157167858543,45.0303972345341,0.97,58.3,207.2,45
340,208.079396086142,73.0242492111709,2.82,169.4,208.1,73
341,209.09997487072,45.0303836940434,7.86,471.3,209.1,45
342,209.152072764234,151.106828660013,1.04,62.3,209.2,151.1
343,209.18729682513,72.076731160122,0.89,53.2,209.2,72.1
344,210.08541319187,70.0615707775756,12.54,752.3,210.1,70.1
345,210.131682313624,109.072513429002,4.46,267.3,210.1,109.1
346,210.954412758093,128.949572780964,9.93,595.8,211,128.9
348,211.167442665547,95.0816631966473,0.95,57.2,211.2,95.1
349,212.050993145154,84.0405010958636,11.77,705.9,212.1,84
350,212.116296172952,94.0612111751172,3.73,224,212.1,94.1
351,213.014333208312,44.0464636202298,12.68,761,213,44
352,213.025159701158,38.9599280303347,9.28,557,213,39
353,213.464153977745,84.077554133233,9.56,573.3,213.5,84.1
354,213.60701884721,110.066654100035,13.35,800.8,213.6,110.1
357,214.104971549537,84.0765235118505,11.26,675.3,214.1,84.1
358,214.129114710124,84.0766174019891,9.56,573.3,214.1,84.1
359,214.152823583446,86.0559043899792,3.02,181.2,214.2,86.1
360,214.178481000464,45.0303925245319,0.99,59.3,214.2,45
361,214.645246443199,44.0463790044162,16.34,980.3,214.6,44
362,215.067734632864,113.012023187095,2.91,174.5,215.1,113
363,215.10520142496,124.001001755609,3.86,231.6,215.1,124
364,215.137029827309,70.0615302895817,8.26,495.8,215.1,70.1
365,215.616706376746,70.0615456541041,14.08,844.6,215.6,70.1
366,216.042082658064,113.011928437368,8.04,482.6,216,113
368,216.052753283715,72.0771356366593,8.62,517.2,216.1,72.1
369,216.0614306031,44.0464418887141,11.71,702.9,216.1,44
370,216.11856883997,70.0615432921177,14.08,844.6,216.1,70.1
371,216.168763175148,100.071599908972,9.81,588.6,216.2,100.1
373,217.127650954691,158.07877266687,10.89,653.4,217.1,158.1
374,217.152361350384,84.0765702968261,11.05,663.1,217.2,84.1
375,218.090668289193,118.061308885968,7.29,437.7,218.1,118.1
376,218.122386711742,70.0615936021843,11.99,719.2,218.1,70.1
377,218.137214548441,85.024502110912,7.99,479.5,218.1,85
378,218.147902277418,84.0765526846284,12.97,778.3,218.1,84.1
379,218.209166654272,88.0717609140679,2.01,120.5,218.2,88.1
381,220.115922996226,90.0509132933784,7.89,473.4,220.1,90.1
382,220.614730934234,44.0464498091345,12.94,776.3,220.6,44
384,221.072533603443,130.060997867462,1.12,67.4,221.1,130.1
385,221.07531964253,60.0411559069245,12.77,766.1,221.1,60
387,222.077899998088,85.0245784888011,12.36,741.6,222.1,85
388,222.095401728905,84.0404540433726,7.26,435.6,222.1,84
389,223.105153772409,120.076022045003,6.53,391.8,223.1,120.1
391,225.095521714792,95.0566488759199,9.56,573.3,225.1,95.1
392,225.146513895839,86.9863773453183,0.92,55.2,225.1,87
393,226.035470184193,84.0404947080494,11.97,718.2,226,84
394,226.045228019751,44.0464657256556,9.67,580.5,226,44
395,226.043286039369,72.0767890259529,8.64,518.2,226,72.1
396,226.078179497621,86.0923223726633,10.63,637.6,226.1,86.1
397,226.081554084625,86.0924722745764,11.51,690.6,226.1,86.1
398,226.079970071174,110.066867074325,7.11,426.5,226.1,110.1
400,226.178063041418,95.0817868605645,3.33,200,226.2,95.1
401,226.986232747606,62.9784753731903,9.93,595.8,227,63
402,227.077164660645,85.0245986370959,7.28,436.7,227.1,85
403,227.111605136977,110.067852625792,12.53,751.8,227.1,110.1
404,227.125870400252,86.0925187577502,0.88,52.6,227.1,86.1
405,227.161978450662,43.0153896827111,1.04,62.3,227.2,43
406,227.184684927245,84.0765366198047,7.16,429.5,227.2,84.1
407,228.193521730461,95.0819665334886,0.97,58.3,228.2,95.1
408,229.061593231268,110.067958253687,7.09,425.4,229.1,110.1
409,229.116995801795,70.0615607726375,12.73,764.1,229.1,70.1
410,229.153234572294,70.0615558736643,8.69,521.3,229.2,70.1
411,229.152625817249,70.0615890401061,10.88,652.9,229.2,70.1
412,229.156696652924,147.075664078274,2.13,127.6,229.2,147.1
413,230.093209183394,127.026162783196,9.52,571.3,230.1,127
414,230.122714947604,55.0508917139077,10.05,602.9,230.1,55.1
415,230.184480900965,100.071589814872,9.79,587.6,230.2,100.1
416,230.246074546572,57.0668192998992,4.06,243.9,230.2,57.1
418,231.081782554771,45.0308199226325,7.86,471.3,231.1,45
420,231.14340003626,46.0623098499391,9.83,589.6,231.1,46.1
421,231.142912927789,147.071636208262,10.83,649.8,231.1,147.1
422,231.168124056157,72.0776966634636,5.49,329.6,231.2,72.1
423,231.973053488362,70.0615978703912,8.96,537.6,232,70.1
424,232.105675257192,90.0509911787113,9.4,564.2,232.1,90.1
425,232.127372661509,84.0765998389138,12.11,726.3,232.1,84.1
426,232.138467470122,60.0520775814269,10.97,658,232.1,60.1
427,232.138359830717,60.0530372923915,12.92,775.3,232.1,60.1
428,232.152970909003,85.0245240705374,7.28,436.7,232.2,85
429,232.839589694514,176.870674293595,8.86,531.5,232.8,176.9
430,233.147346479964,95.0562004763995,11.41,684.5,233.1,95.1
431,233.147500712833,84.0776551621776,14.59,875.2,233.1,84.1
432,234.916262400506,38.9607624517912,8.81,528.4,234.9,39
433,234.91595378077,62.9783081961714,9.95,596.8,234.9,63
434,235.090533108112,102.050778318697,13.09,785.5,235.1,102.1
435,235.163459801853,118.082757659641,7.75,465.2,235.2,118.1
436,235.178738590276,86.0925222129578,0.89,53.2,235.2,86.1
437,236.146799835248,110.066717926069,9.59,575.4,236.1,110.1
439,238.042685362731,84.0771043554331,11.71,702.9,238,84.1
440,238.178529277114,109.097445624678,1.02,61.3,238.2,109.1
441,239.100418210119,136.072202396592,8.01,480.5,239.1,136.1
442,239.103375263525,86.0935029933782,4.88,292.8,239.1,86.1
443,239.111927541792,122.067152035583,9.09,545.3,239.1,122.1
444,239.147182823715,45.030399518167,1.88,112.8,239.1,45
445,239.147167724171,45.0304088110918,1.47,88.3,239.1,45
446,239.980568996881,44.0468420502215,10.07,603.9,240,44
447,241.152374380695,58.0610742622505,11.05,663.1,241.2,58.1
448,242.016600217975,70.0615821393426,8.67,520.3,242,70.1
449,242.057072291116,95.056040110255,6.63,397.9,242.1,95.1
450,242.0608473643,86.0924823856365,11.5,690.1,242.1,86.1
451,242.076564914601,86.0929248569629,12.33,739.6,242.1,86.1
452,242.077718340193,38.9607620915116,8.81,528.4,242.1,39
454,242.147798549478,100.071989504704,6.43,385.7,242.1,100.1
455,242.159101224941,70.0615514474738,8.43,506,242.2,70.1
456,242.640276387701,84.0764277531007,15.73,943.6,242.6,84.1
458,243.023960556548,84.0769243022677,12.12,727.3,243,84.1
460,243.050354945516,85.0245422306481,7.29,437.2,243.1,85
462,244.05577142442,44.046488729138,9.67,580.5,244.1,44
463,244.073039576844,84.0765902558707,11.1,666.1,244.1,84.1
464,244.077215662517,85.0245346904562,7.29,437.2,244.1,85
465,244.090631603309,112.046762286483,6.75,405,244.1,112
466,244.127268589853,84.0771467719576,10.81,648.8,244.1,84.1
467,244.152165638875,110.066759040121,7.09,425.4,244.2,110.1
469,245.056736954532,123.076513628516,1.17,70.5,245.1,123.1
470,245.074819149076,113.03057273871,4.44,266.3,245.1,113
471,245.07470587686,84.0404257533352,14.16,849.7,245.1,84
472,245.111394512216,84.0764982502529,12.6,755.9,245.1,84.1
473,245.111105716261,197.087512722788,3.27,196.5,245.1,197.1
474,246.106388662824,70.0615904639683,10.88,652.9,246.1,70.1
475,246.142735653444,130.081981915193,11.56,693.7,246.1,130.1
476,246.154109434464,74.0562816078143,12.41,744.7,246.2,74.1
477,246.168138332773,85.0245523174533,6.8,408.1,246.2,85
478,246.179065073518,84.0766283220465,11.72,703.4,246.2,84.1
479,246.178716589382,84.0766215411369,11.12,667.2,246.2,84.1
480,246.183264743648,147.075631876549,2.13,127.6,246.2,147.1
481,246.179062540058,100.071510012833,16.23,973.7,246.2,100.1
482,246.240041477802,88.0711700892592,1.8,107.7,246.2,88.1
483,247.08993709111,86.0924491194373,12.33,739.6,247.1,86.1
484,247.091146805921,90.0509259708599,9.42,565.2,247.1,90.1
485,247.126378260296,86.0925031030932,10.63,637.6,247.1,86.1
486,247.137711158218,70.0614646371045,10.29,617.2,247.1,70.1
487,247.137611347318,138.086140563551,12.8,768.1,247.1,138.1
488,247.141866914422,146.055881889519,5.46,327.5,247.1,146.1
489,247.174430827269,118.082721351777,7.75,465.2,247.2,118.1
491,248.063876708962,86.0924487273447,11.52,691.1,248.1,86.1
492,248.093186552008,107.045423532146,11.75,704.9,248.1,107
493,248.110468028654,85.0245289375005,11.8,708,248.1,85
495,248.148473772517,85.0245824066783,9.33,560.1,248.1,85
496,248.158379175267,84.0765561067524,12.62,756.9,248.2,84.1
497,249.554456337105,72.0778032757787,6.16,369.8,249.6,72.1
498,250.091494818582,136.057579383017,2.36,141.9,250.1,136.1
499,250.102494769685,137.042720273435,4.61,276.5,250.1,137
500,250.947249458065,104.988840377867,9.93,595.8,250.9,105
501,251.03405667901,126.018150779424,8.47,508.1,251,126
502,251.075120723303,137.041217317143,3.52,211.2,251.1,137
503,252.161831104466,84.0764938405433,17.54,1052.7,252.2,84.1
504,252.925933443906,128.949916752354,9.95,596.8,252.9,128.9
505,253.030049331487,126.018072616986,8.47,508.1,253,126
506,253.091149348897,137.041631330836,4.97,297.9,253.1,137
507,253.126353134401,103.034702146142,7.63,457.6,253.1,103
508,254.158712040343,195.10888350536,8.71,522.3,254.2,195.1
509,255.061860494757,84.0404388938336,11.82,709,255.1,84
510,255.11081215269,95.0819760734273,1,60.3,255.1,95.1
511,255.142745359159,110.066869529142,9.18,550.9,255.1,110.1
512,256.079050256605,124.035573327279,9.44,566.2,256.1,124
513,256.090397378743,85.0245969705812,12.09,725.3,256.1,85
515,256.630346235577,215.13406883261,12.56,753.9,256.6,215.1
516,256.980178861682,176.870790855014,8.82,529.5,257,176.9
517,257.111167849479,108.040486005041,4.51,270.4,257.1,108
518,257.133356748347,70.0615653448944,9.66,579.4,257.1,70.1
519,257.146355363137,70.0616285372281,16.08,965,257.1,70.1
522,258.107302501161,104.102511788988,11.97,718.2,258.1,104.1
523,258.108795111239,104.103827969592,11.48,688.6,258.1,104.1
524,258.106375594691,126.062242523207,6.73,404,258.1,126.1
525,258.142491321911,85.0245713751141,12.11,726.3,258.1,85
526,258.178557014896,86.0560095222815,10.81,648.8,258.2,86.1
528,260.050534697442,38.9605290060239,7.28,436.7,260.1,39
529,260.133010907028,70.0615486121871,11.56,693.7,260.1,70.1
530,260.157920708743,84.0766103087203,11.42,685,260.2,84.1
